"Region, subregion, country or area *",country_code,World Bank region,World Bank income grou,GDP 2018
Libya,LBY,Middle East & North Africa,Upper middle income,20764.16414
Lithuania,LTU,Europe & Central Asia,High income,35461.3591
Luxembourg,LUX,Europe & Central Asia,High income,113337.4205
Madagascar,MDG,Sub-Saharan Africa,Low income,1891.320668
Malawi,MWI,Sub-Saharan Africa,Low income,1310.995555
Malaysia,MYS,East Asia & Pacific,Upper middle income,31782.15336
Maldives,MDV,South Asia,Upper middle income,15307.72194
Mali,MLI,Sub-Saharan Africa,Low income,2316.6552
Malta,MLT,Middle East & North Africa,High income,42581.09786
Martinique,NA,,,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,4150.965246
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,23750.98804
Mayotte,NA,,,
Mexico,MEX,Latin America & Caribbean,Upper middle income,19844.64567
Micronesia (Fed. States of),FSM,East Asia & Pacific,Lower middle income,3553.061455
Mongolia,MNG,East Asia & Pacific,Lower middle income,13799.90485
Montenegro,MNE,Europe & Central Asia,Upper middle income,20689.98675
Morocco,MAR,Middle East & North Africa,Lower middle income,8586.6387
Mozambique,MOZ,Sub-Saharan Africa,Low income,1459.698413
Myanmar,MMR,East Asia & Pacific,Lower middle income,6674.028647
Namibia,NAM,Sub-Saharan Africa,Upper middle income,11101.82628
Nepal,NPL,South Asia,Low income,3089.556352
Netherlands,NLD,Europe & Central Asia,High income,56328.94114
New Caledonia,NCL,East Asia & Pacific,High income,
New Zealand,NZL,East Asia & Pacific,High income,41005.42087
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,5533.551064
Niger,NER,Sub-Saharan Africa,Low income,1063.421841
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,5990.850432
North Macedonia,MKD,Europe & Central Asia,Upper middle income,16358.66205
Norway,NOR,Europe & Central Asia,High income,65510.58527
Oman,OMN,Middle East & North Africa,High income,41859.93448
Pakistan,PAK,South Asia,Lower middle income,5567.055608
Panama,PAN,Latin America & Caribbean,High income,25553.69671
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,4336.244657
Paraguay,PRY,Latin America & Caribbean,Upper middle income,13599.92656
Peru,PER,Latin America & Caribbean,Upper middle income,14418.07067
Philippines,PHL,East Asia & Pacific,Lower middle income,8951.085654
Poland,POL,Europe & Central Asia,High income,31336.6035
Portugal,PRT,Europe & Central Asia,High income,33415.4379
Puerto Rico,PRI,Latin America & Caribbean,High income,39540.58693
Qatar,QAT,Middle East & North Africa,High income,126898.4259
"Korea, Rep.",KOR,East Asia & Pacific,High income,40111.77576
Moldova,MDA,Europe & Central Asia,Lower middle income,7271.641919
Réunion,NA,Latin America & Caribbean,,
Romania,ROU,Europe & Central Asia,Upper middle income,28206.35705
Russian Federation,RUS,Europe & Central Asia,Upper middle income,27147.33358
Rwanda,RWA,Sub-Saharan Africa,Low income,2251.556388
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,13881.37213
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,12287.9755
Samoa,WSM,East Asia & Pacific,Upper middle income,6483.534228
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,3418.58693
Saudi Arabia,SAU,Middle East & North Africa,High income,55335.67959
Senegal,SEN,Sub-Saharan Africa,Lower middle income,3782.538613
Serbia,SRB,Europe & Central Asia,Upper middle income,17434.91613
Seychelles,SYC,Sub-Saharan Africa,High income,30557.07572
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1601.974029
Singapore,SGP,East Asia & Pacific,High income,101531.6302
Slovakia,SVK,Europe & Central Asia,High income,33736.40094
Slovenia,SVN,Europe & Central Asia,High income,38048.78466
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2422.819533
Somalia,SOM,Sub-Saharan Africa,Low income,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,13686.88236
South Sudan,SSD,Sub-Saharan Africa,Low income,
Spain,ESP,Europe & Central Asia,High income,39715.43906
Sri Lanka,LKA,South Asia,Upper middle income,13473.66309
State of Palestine,PSE,Middle East & North Africa,Lower middle income,5157.568578
Sudan,SDN,Sub-Saharan Africa,Lower middle income,4759.281882
Suriname,SUR,Latin America & Caribbean,Upper middle income,15510.46464
Sweden,SWE,Europe & Central Asia,High income,53208.88436
Switzerland,CHE,Europe & Central Asia,High income,68060.94105
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,
Tajikistan,TJK,Europe & Central Asia,Low income,3449.779316
Thailand,THA,East Asia & Pacific,Upper middle income,19051.33338
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,7658.434996
Togo,TGO,Sub-Saharan Africa,Low income,1773.896632
Tonga,TON,East Asia & Pacific,Upper middle income,6419.561778
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,32014.78313
Tunisia,TUN,Middle East & North Africa,Lower middle income,12502.82019
Turkey,TUR,Europe & Central Asia,Upper middle income,28068.85941
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,19304.10131
Uganda,UGA,Sub-Saharan Africa,Low income,2038.073892
Ukraine,UKR,Europe & Central Asia,Lower middle income,9233.150469
United Arab Emirates,ARE,Middle East & North Africa,High income,75075.25741
United Kingdom,GBR,Europe & Central Asia,High income,45973.5735
Tanzania,TZA,Sub-Saharan Africa,Low income,3227.034211
United States,USA,North America,High income,62794.58565
United States Virgin Islands,VIR,Latin America & Caribbean,High income,
Uruguay,URY,Latin America & Caribbean,High income,23572.17746
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,8556.051512
Vanuatu,VUT,East Asia & Pacific,Lower middle income,3221.149823
Venezuela (Bolivarian Republic of),VEN,Latin America & Caribbean,Upper middle income,
Vietnam,VNM,East Asia & Pacific,Lower middle income,7447.814334
Western Sahara,NA,Sub-Saharan Africa,,
Yemen,YEM,Middle East & North Africa,Low income,2575.126385
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,4223.906936
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,3029.793005
