Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical
Aruba,3.3,Social distancing whole population,43%,106766,58483,406,2105,538
Aruba,2.4,Unmitigated,0%,106766,75228,576,2939,763
Aruba,2.7,Unmitigated,0%,106766,81576,649,3291,861
Aruba,3,Unmitigated,0%,106766,86380,709,3575,941
Aruba,3.3,Unmitigated,0%,106766,90082,759,3805,1006
Australia,2.4,Enhanced social distancing of elderly,35%,25499881,11505560,38520,296832,51067
Australia,2.7,Enhanced social distancing of elderly,39%,25499881,12679690,45396,337560,60193
Australia,3,Enhanced social distancing of elderly,42%,25499881,13906207,68550,420373,90875
Australia,3.3,Enhanced social distancing of elderly,45%,25499881,14767130,77371,460126,102570
Australia,2.4,Social distancing whole population,36%,25499881,12002262,69102,383450,91610
Australia,2.7,Social distancing whole population,40%,25499881,13202721,78872,431695,104559
Australia,3,Social distancing whole population,43%,25499881,14195271,87514,473316,116067
Australia,3.3,Social distancing whole population,46%,25499881,15030810,95234,509690,126275
Australia,2.4,Unmitigated,0%,25499881,19564996,146707,734250,194492
Australia,2.7,Unmitigated,0%,25499881,20851728,165589,809460,219583
Australia,3,Unmitigated,0%,25499881,21804902,181490,870037,240556
Australia,3.3,Unmitigated,0%,25499881,22525755,194953,919396,258433
Austria,2.4,Enhanced social distancing of elderly,34%,9006400,3795039,14994,111060,19878
Austria,2.7,Enhanced social distancing of elderly,38%,9006400,4206941,17804,127332,23603
Austria,3,Enhanced social distancing of elderly,42%,9006400,4652294,27189,160265,36057
Austria,3.3,Enhanced social distancing of elderly,45%,9006400,4961210,30847,176417,40900
Austria,2.4,Social distancing whole population,35%,9006400,3993988,27404,145412,36330
Austria,2.7,Social distancing whole population,39%,9006400,4418644,31512,164988,41784
Austria,3,Social distancing whole population,43%,9006400,4772589,35182,182055,46639
Austria,3.3,Social distancing whole population,45%,9006400,5072575,38486,197094,51019
Austria,2.4,Unmitigated,0%,9006400,6643425,59573,286532,78977
Austria,2.7,Unmitigated,0%,9006400,7125672,67827,318712,89913
Austria,3,Unmitigated,0%,9006400,7488731,74864,344990,99280
Austria,3.3,Unmitigated,0%,9006400,7767698,80884,366658,107262
Azerbaijan,2.4,Enhanced social distancing of elderly,35%,10139175,5057155,12901,116170,17103
Azerbaijan,2.7,Enhanced social distancing of elderly,39%,10139175,5550308,14916,130575,19780
Azerbaijan,3,Enhanced social distancing of elderly,43%,10139175,5991490,20388,153377,27028
Azerbaijan,3.3,Enhanced social distancing of elderly,46%,10139175,6332566,22527,165471,29863
Azerbaijan,2.4,Social distancing whole population,36%,10139175,5142086,19605,135731,25991
Azerbaijan,2.7,Social distancing whole population,40%,10139175,5632302,22013,151057,29181
Azerbaijan,3,Social distancing whole population,44%,10139175,6033689,24072,163953,31929
Azerbaijan,3.3,Social distancing whole population,46%,10139175,6368602,25857,174966,34293
Azerbaijan,2.4,Unmitigated,0%,10139175,8206246,36990,240260,49038
Azerbaijan,2.7,Unmitigated,0%,10139175,8687967,40415,259126,53602
Azerbaijan,3,Unmitigated,0%,10139175,9033669,43070,273308,57106
Azerbaijan,3.3,Unmitigated,0%,10139175,9287041,45150,284134,59852
Bahamas,2.4,Enhanced social distancing of elderly,33%,393248,174349,475,3747,629
Bahamas,2.7,Enhanced social distancing of elderly,37%,393248,194338,562,4331,745
Bahamas,3,Enhanced social distancing of elderly,41%,393248,212963,799,5304,1059
Bahamas,3.3,Enhanced social distancing of elderly,44%,393248,227323,893,5820,1184
Bahamas,2.4,Social distancing whole population,35%,393248,178492,759,4595,1006
Bahamas,2.7,Social distancing whole population,39%,393248,198300,866,5225,1148
Bahamas,3,Social distancing whole population,42%,393248,214893,959,5772,1272
Bahamas,3.3,Social distancing whole population,45%,393248,228964,1041,6249,1380
Bahamas,2.4,Unmitigated,0%,393248,297852,1480,8780,1963
Bahamas,2.7,Unmitigated,0%,393248,319815,1637,9664,2169
Bahamas,3,Unmitigated,0%,393248,336027,1758,10347,2331
Bahamas,3.3,Unmitigated,0%,393248,348180,1854,10879,2459
Bahrain,2.4,Enhanced social distancing of elderly,34%,1701583,934780,2299,23209,3048
Bahrain,2.7,Enhanced social distancing of elderly,38%,1701583,1011213,2545,25223,3375
Bahrain,3,Enhanced social distancing of elderly,43%,1701583,1054190,3095,27534,4104
Bahrain,3.3,Enhanced social distancing of elderly,47%,1701583,1104824,3277,28908,4344
Bahrain,2.4,Social distancing whole population,37%,1701583,905516,2962,24621,3927
Bahrain,2.7,Social distancing whole population,41%,1701583,983623,3171,26560,4203
Bahrain,3,Social distancing whole population,44%,1701583,1046995,3334,28106,4421
Bahrain,3.3,Social distancing whole population,47%,1701583,1099482,3466,29367,4597
Bahrain,2.4,Unmitigated,0%,1701583,1407811,4155,36341,5509
Bahrain,2.7,Unmitigated,0%,1701583,1480127,4292,37831,5692
Bahrain,3,Unmitigated,0%,1701583,1531341,4381,38833,5809
Bahrain,3.3,Unmitigated,0%,1701583,1568493,4440,39524,5887
Bangladesh,2.4,Enhanced social distancing of elderly,34%,164689383,93855688,264892,2028045,351172
Bangladesh,2.7,Enhanced social distancing of elderly,38%,164689383,101547595,298675,2232628,395935
Bangladesh,3,Enhanced social distancing of elderly,44%,164689383,107207394,395419,2575198,524486
Bangladesh,3.3,Enhanced social distancing of elderly,47%,164689383,112232453,425219,2729019,563912
Bangladesh,2.4,Social distancing whole population,37%,164689383,93052124,388051,2346714,514446
Bangladesh,2.7,Social distancing whole population,41%,164689383,100724508,420078,2543915,557112
Bangladesh,3,Social distancing whole population,45%,164689383,106899433,445820,2703011,591105
Bangladesh,3.3,Social distancing whole population,48%,164689383,111991810,467030,2834506,619114
Bangladesh,2.4,Unmitigated,0%,164689383,142192269,592125,3620453,784990
Bangladesh,2.7,Unmitigated,0%,164689383,148701242,618890,3791939,820416
Bangladesh,3,Unmitigated,0%,164689383,153164342,637191,3910219,844703
Bangladesh,3.3,Unmitigated,0%,164689383,156284908,649967,3993557,862049
Barbados,2.4,Enhanced social distancing of elderly,32%,287371,114233,485,3084,643
Barbados,2.7,Enhanced social distancing of elderly,36%,287371,128097,584,3610,774
Barbados,3,Enhanced social distancing of elderly,40%,287371,142968,892,4674,1183
Barbados,3.3,Enhanced social distancing of elderly,43%,287371,153410,1010,5187,1339
Barbados,2.4,Social distancing whole population,34%,287371,120472,881,4177,1167
Barbados,2.7,Social distancing whole population,38%,287371,134554,1014,4790,1345
Barbados,3,Social distancing whole population,41%,287371,146451,1133,5328,1502
Barbados,3.3,Social distancing whole population,44%,287371,156614,1238,5804,1643
Barbados,2.4,Unmitigated,0%,287371,205098,1808,8307,2397
Barbados,2.7,Unmitigated,0%,287371,221943,2039,9284,2704
Barbados,3,Unmitigated,0%,287371,234697,2229,10073,2955
Barbados,3.3,Unmitigated,0%,287371,244527,2387,10715,3164
Belarus,2.4,Enhanced social distancing of elderly,35%,9449321,4225775,14924,117348,19785
Belarus,2.7,Enhanced social distancing of elderly,38%,9449321,4663827,17563,133619,23280
Belarus,3,Enhanced social distancing of elderly,42%,9449321,5116275,25844,164350,34269
Belarus,3.3,Enhanced social distancing of elderly,45%,9449321,5437274,29103,179798,38597
Belarus,2.4,Social distancing whole population,36%,9449321,4401600,25594,147743,33930
Belarus,2.7,Social distancing whole population,40%,9449321,4848262,29235,166596,38772
Belarus,3,Social distancing whole population,43%,9449321,5218214,32457,182887,43033
Belarus,3.3,Social distancing whole population,46%,9449321,5530050,35333,197136,46838
Belarus,2.4,Unmitigated,0%,9449321,7203722,54090,283709,71708
Belarus,2.7,Unmitigated,0%,9449321,7686944,60982,312939,80841
Belarus,3,Unmitigated,0%,9449321,8045543,66755,336417,88493
Belarus,3.3,Unmitigated,0%,9449321,8317401,71616,355484,95012
Belgium,2.4,Enhanced social distancing of elderly,34%,11589616,5601154,26073,179381,34566
Belgium,2.7,Enhanced social distancing of elderly,38%,11589616,6125285,30374,201615,40281
Belgium,3,Enhanced social distancing of elderly,43%,11589616,6702807,45794,252390,60718
Belgium,3.3,Enhanced social distancing of elderly,46%,11589616,7082309,51136,273942,67788
Belgium,2.4,Social distancing whole population,37%,11589616,5898101,46924,237347,62208
Belgium,2.7,Social distancing whole population,41%,11589616,6426668,52525,262613,69626
Belgium,3,Social distancing whole population,44%,11589616,6858664,57364,283950,76046
Belgium,3.3,Social distancing whole population,47%,11589616,7218935,61600,302260,81697
Belgium,2.4,Unmitigated,0%,11589616,9328730,91586,422196,121417
Belgium,2.7,Unmitigated,0%,11589616,9851326,101122,456797,134165
Belgium,3,Unmitigated,0%,11589616,10229411,108928,483820,144443
Belgium,3.3,Unmitigated,0%,11589616,10509681,115385,505276,152930
Belize,2.4,Enhanced social distancing of elderly,34%,397621,190658,392,3240,519
Belize,2.7,Enhanced social distancing of elderly,38%,397621,210717,458,3691,608
Belize,3,Enhanced social distancing of elderly,42%,397621,228255,641,4429,850
Belize,3.3,Enhanced social distancing of elderly,45%,397621,242236,710,4810,941
Belize,2.4,Social distancing whole population,35%,397621,193011,616,3883,817
Belize,2.7,Social distancing whole population,39%,397621,212775,693,4356,920
Belize,3,Social distancing whole population,43%,397621,229156,759,4759,1007
Belize,3.3,Social distancing whole population,45%,397621,242935,816,5105,1082
Belize,2.4,Unmitigated,0%,397621,313763,1127,6986,1494
Belize,2.7,Unmitigated,0%,397621,334278,1224,7564,1623
Belize,3,Unmitigated,0%,397621,349132,1296,7994,1719
Belize,3.3,Unmitigated,0%,397621,360066,1351,8316,1791
Benin,2.4,Enhanced social distancing of elderly,35%,12123198,6756151,12707,105694,16845
Benin,2.7,Enhanced social distancing of elderly,39%,12123198,7310945,14260,115830,18912
Benin,3,Enhanced social distancing of elderly,44%,12123198,7703590,18630,132622,24701
Benin,3.3,Enhanced social distancing of elderly,47%,12123198,8067945,19940,140046,26433
Benin,2.4,Social distancing whole population,37%,12123198,6669239,18307,121405,24270
Benin,2.7,Social distancing whole population,41%,12123198,7224783,19710,131032,26130
Benin,3,Social distancing whole population,45%,12123198,7673306,20824,138717,27606
Benin,3.3,Social distancing whole population,48%,12123198,8043621,21729,144996,28819
Benin,2.4,Unmitigated,0%,12123198,10270368,26809,181016,35541
Benin,2.7,Unmitigated,0%,12123198,10765529,27818,188410,36884
Benin,3,Unmitigated,0%,12123198,11111328,28481,193344,37773
Benin,3.3,Unmitigated,0%,12123198,11358911,28927,196715,38354
Bhutan,2.4,Enhanced social distancing of elderly,33%,771612,435367,1265,9403,1678
Bhutan,2.7,Enhanced social distancing of elderly,38%,771612,471604,1434,10377,1901
Bhutan,3,Enhanced social distancing of elderly,43%,771612,499940,1948,12154,2582
Bhutan,3.3,Enhanced social distancing of elderly,47%,771612,523795,2104,12914,2791
Bhutan,2.4,Social distancing whole population,37%,771612,434531,1935,11176,2565
Bhutan,2.7,Social distancing whole population,41%,771612,470581,2101,12130,2787
Bhutan,3,Social distancing whole population,45%,771612,499612,2235,12902,2964
Bhutan,3.3,Social distancing whole population,48%,771612,523502,2346,13539,3110
Bhutan,2.4,Unmitigated,0%,771612,663460,3007,17313,3987
Bhutan,2.7,Unmitigated,0%,771612,694374,3157,18159,4186
Bhutan,3,Unmitigated,0%,771612,715580,3262,18744,4324
Bhutan,3.3,Unmitigated,0%,771612,730449,3336,19157,4422
Bolivia,2.4,Enhanced social distancing of elderly,35%,11673029,5541515,12787,96647,16952
Bolivia,2.7,Enhanced social distancing of elderly,38%,11673029,6120190,15055,110424,19964
Bolivia,3,Enhanced social distancing of elderly,42%,11673029,6657592,21994,136154,29163
Bolivia,3.3,Enhanced social distancing of elderly,45%,11673029,7067157,24521,148540,32507
Bolivia,2.4,Social distancing whole population,36%,11673029,5661108,21488,121399,28486
Bolivia,2.7,Social distancing whole population,40%,11673029,6236465,24284,136446,32189
Bolivia,3,Social distancing whole population,43%,11673029,6713530,26704,149333,35400
Bolivia,3.3,Social distancing whole population,46%,11673029,7114835,28816,160472,38212
Bolivia,2.4,Unmitigated,0%,11673029,9250797,41442,224862,54941
Bolivia,2.7,Unmitigated,0%,11673029,9845359,45507,244655,60328
Bolivia,3,Unmitigated,0%,11673029,10276067,48674,259686,64554
Bolivia,3.3,Unmitigated,0%,11673029,10594058,51173,271258,67848
Bosnia and Herzegovina,2.4,Enhanced social distancing of elderly,34%,3280815,1412795,5314,40998,7044
Bosnia and Herzegovina,2.7,Enhanced social distancing of elderly,38%,3280815,1563514,6280,46889,8326
Bosnia and Herzegovina,3,Enhanced social distancing of elderly,42%,3280815,1724462,9339,58332,12380
Bosnia and Herzegovina,3.3,Enhanced social distancing of elderly,45%,3280815,1836821,10554,64063,14000
Bosnia and Herzegovina,2.4,Social distancing whole population,36%,3280815,1481911,9274,52547,12295
Bosnia and Herzegovina,2.7,Social distancing whole population,39%,3280815,1636863,10640,59511,14109
Bosnia and Herzegovina,3,Social distancing whole population,43%,3280815,1765788,11856,65570,15724
Bosnia and Herzegovina,3.3,Social distancing whole population,46%,3280815,1874905,12947,70899,17166
Bosnia and Herzegovina,2.4,Unmitigated,0%,3280815,2449298,19917,102753,26405
Bosnia and Herzegovina,2.7,Unmitigated,0%,3280815,2622463,22576,113990,29931
Bosnia and Herzegovina,3,Unmitigated,0%,3280815,2752281,24818,123112,32899
Bosnia and Herzegovina,3.3,Unmitigated,0%,3280815,2851557,26716,130579,35417
Botswana,2.4,Enhanced social distancing of elderly,34%,2351625,1317160,2940,24250,3898
Botswana,2.7,Enhanced social distancing of elderly,39%,2351625,1427214,3321,26734,4404
Botswana,3,Enhanced social distancing of elderly,44%,2351625,1509966,4412,30968,5851
Botswana,3.3,Enhanced social distancing of elderly,47%,2351625,1582234,4751,32856,6298
Botswana,2.4,Social distancing whole population,37%,2351625,1309423,4340,28280,5753
Botswana,2.7,Social distancing whole population,41%,2351625,1418827,4702,30683,6234
Botswana,3,Social distancing whole population,45%,2351625,1507062,4993,32624,6619
Botswana,3.3,Social distancing whole population,48%,2351625,1579810,5233,34224,6937
Botswana,2.4,Unmitigated,0%,2351625,2010430,6628,43670,8787
Botswana,2.7,Unmitigated,0%,2351625,2105803,6928,45738,9185
Botswana,3,Unmitigated,0%,2351625,2171745,7132,47153,9459
Botswana,3.3,Unmitigated,0%,2351625,2218302,7273,48142,9643
Brazil,2.4,Enhanced social distancing of elderly,33%,212559409,91801981,270693,2023874,358863
Brazil,2.7,Enhanced social distancing of elderly,37%,212559409,102598007,322646,2348908,427709
Brazil,3,Enhanced social distancing of elderly,41%,212559409,112988886,471742,2925842,625338
Brazil,3.3,Enhanced social distancing of elderly,44%,212559409,120836850,529779,3222096,702497
Brazil,2.4,Social distancing whole population,35%,212559409,94554305,452442,2550716,599810
Brazil,2.7,Social distancing whole population,39%,212559409,105309523,518315,2909776,687127
Brazil,3,Social distancing whole population,42%,212559409,114348169,576128,3222624,764105
Brazil,3.3,Social distancing whole population,45%,212559409,122025818,627047,3496359,831381
Brazil,2.4,Unmitigated,0%,212559409,160125948,908009,4974643,1203762
Brazil,2.7,Unmitigated,0%,212559409,172162607,1008804,5490012,1337612
Brazil,3,Unmitigated,0%,212559409,181084337,1088612,5891295,1443116
Brazil,3.3,Unmitigated,0%,212559409,187799806,1152283,6206514,1527536
Brunei Darussalam,2.4,Enhanced social distancing of elderly,33%,437483,239784,705,6249,935
Brunei Darussalam,2.7,Enhanced social distancing of elderly,37%,437483,260576,800,6890,1061
Brunei Darussalam,3,Enhanced social distancing of elderly,43%,437483,273320,1060,7848,1405
Brunei Darussalam,3.3,Enhanced social distancing of elderly,46%,437483,286459,1146,8325,1519
Brunei Darussalam,2.4,Social distancing whole population,37%,437483,236691,1047,7161,1388
Brunei Darussalam,2.7,Social distancing whole population,41%,437483,256544,1138,7772,1509
Brunei Darussalam,3,Social distancing whole population,44%,437483,272595,1212,8266,1607
Brunei Darussalam,3.3,Social distancing whole population,47%,437483,285847,1273,8674,1687
Brunei Darussalam,2.4,Unmitigated,0%,437483,363160,1628,11029,2158
Brunei Darussalam,2.7,Unmitigated,0%,437483,381133,1709,11562,2265
Brunei Darussalam,3,Unmitigated,0%,437483,393789,1764,11929,2340
Brunei Darussalam,3.3,Unmitigated,0%,437483,402932,1804,12186,2392
Bulgaria,2.4,Enhanced social distancing of elderly,34%,6948445,2918669,11559,86088,15324
Bulgaria,2.7,Enhanced social distancing of elderly,38%,6948445,3229297,13716,98608,18186
Bulgaria,3,Enhanced social distancing of elderly,42%,6948445,3575618,21033,124868,27882
Bulgaria,3.3,Enhanced social distancing of elderly,45%,6948445,3810454,23872,137521,31647
Bulgaria,2.4,Social distancing whole population,36%,6948445,3087288,21257,114063,28181
Bulgaria,2.7,Social distancing whole population,39%,6948445,3409768,24427,129307,32383
Bulgaria,3,Social distancing whole population,43%,6948445,3678306,27262,142613,36158
Bulgaria,3.3,Social distancing whole population,46%,6948445,3905831,29817,154360,39535
Bulgaria,2.4,Unmitigated,0%,6948445,5115627,46532,225941,61688
Bulgaria,2.7,Unmitigated,0%,6948445,5481809,53034,251604,70327
Bulgaria,3,Unmitigated,0%,6948445,5758297,58600,272699,77673
Bulgaria,3.3,Unmitigated,0%,6948445,5971359,63377,290197,84014
Burkina Faso,2.4,Enhanced social distancing of elderly,35%,20903278,11640625,19055,168097,25262
Burkina Faso,2.7,Enhanced social distancing of elderly,39%,20903278,12587560,21210,183352,28117
Burkina Faso,3,Enhanced social distancing of elderly,44%,20903278,13223106,26753,206137,35483
Burkina Faso,3.3,Enhanced social distancing of elderly,47%,20903278,13845963,28406,216762,37664
Burkina Faso,2.4,Social distancing whole population,37%,20903278,11423617,26005,187566,34476
Burkina Faso,2.7,Social distancing whole population,41%,20903278,12379017,27830,201826,36902
Burkina Faso,3,Social distancing whole population,45%,20903278,13151569,29254,213131,38782
Burkina Faso,3.3,Social distancing whole population,48%,20903278,13791525,30398,222340,40297
Burkina Faso,2.4,Unmitigated,0%,20903278,17633301,36433,273678,48300
Burkina Faso,2.7,Unmitigated,0%,20903278,18495042,37533,283897,49755
Burkina Faso,3,Unmitigated,0%,20903278,19099112,38226,290622,50682
Burkina Faso,3.3,Unmitigated,0%,20903278,19532860,38674,295155,51293
Burundi,2.4,Enhanced social distancing of elderly,35%,11890781,6575209,10728,93439,14222
Burundi,2.7,Enhanced social distancing of elderly,39%,11890781,7112975,11940,101898,15832
Burundi,3,Enhanced social distancing of elderly,44%,11890781,7473911,15044,114528,19943
Burundi,3.3,Enhanced social distancing of elderly,47%,11890781,7828732,15970,120413,21171
Burundi,2.4,Social distancing whole population,37%,11890781,6450490,14615,104226,19376
Burundi,2.7,Social distancing whole population,41%,11890781,6993605,15640,112140,20734
Burundi,3,Social distancing whole population,45%,11890781,7433296,16441,118413,21804
Burundi,3.3,Social distancing whole population,48%,11890781,7796820,17081,123501,22654
Burundi,2.4,Unmitigated,0%,11890781,9984827,20455,151740,27118
Burundi,2.7,Unmitigated,0%,11890781,10480373,21071,157341,27947
Burundi,3,Unmitigated,0%,11890781,10829296,21459,161016,28452
Burundi,3.3,Unmitigated,0%,11890781,11080859,21708,163478,28777
Cabo Verde,2.4,Enhanced social distancing of elderly,34%,555988,308045,780,6257,1034
Cabo Verde,2.7,Enhanced social distancing of elderly,38%,555988,334224,884,6916,1173
Cabo Verde,3,Enhanced social distancing of elderly,43%,555988,353701,1183,7988,1568
Cabo Verde,3.3,Enhanced social distancing of elderly,46%,555988,370964,1278,8492,1694
Cabo Verde,2.4,Social distancing whole population,37%,555988,305857,1163,7237,1542
Cabo Verde,2.7,Social distancing whole population,41%,555988,331894,1265,7881,1678
Cabo Verde,3,Social distancing whole population,44%,555988,352954,1348,8405,1787
Cabo Verde,3.3,Social distancing whole population,47%,555988,370351,1417,8840,1879
Cabo Verde,2.4,Unmitigated,0%,555988,471210,1823,11415,2417
Cabo Verde,2.7,Unmitigated,0%,555988,494495,1919,12026,2544
Cabo Verde,3,Unmitigated,0%,555988,510675,1987,12456,2634
Cabo Verde,3.3,Unmitigated,0%,555988,522151,2035,12764,2699
Cambodia,2.4,Enhanced social distancing of elderly,34%,16718971,8602848,21107,188432,27981
Cambodia,2.7,Enhanced social distancing of elderly,38%,16718971,9374938,23918,207353,31720
Cambodia,3,Enhanced social distancing of elderly,43%,16718971,9911597,32216,238934,42710
Cambodia,3.3,Enhanced social distancing of elderly,47%,16718971,10416871,34902,253611,46267
Cambodia,2.4,Social distancing whole population,37%,16718971,8547410,32090,219801,42542
Cambodia,2.7,Social distancing whole population,41%,16718971,9293347,34909,238394,46276
Cambodia,3,Social distancing whole population,45%,16718971,9901700,37199,253416,49323
Cambodia,3.3,Social distancing whole population,47%,16718971,10408103,39103,265824,51861
Cambodia,2.4,Unmitigated,0%,16718971,13414629,50146,336478,66480
